,City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket
4840,Bengaluru,2016-06-30,13.95,48.92,7.33,20.42,16.49,37.66,3.55,1.86,39.53,0.95,1.91,154.0,Moderate
4841,Bengaluru,2016-07-01,25.0,35.36,5.42,19.59,17.99,41.94,5.62,1.26,44.86,0.87,1.8,208.0,Poor
4842,Bengaluru,2016-07-02,31.8,9.93,3.27,15.96,10.19,35.09,6.28,1.1,51.84,0.79,2.05,192.0,Moderate
4843,Bengaluru,2016-07-03,17.36,30.52,10.96,20.82,16.04,29.15,7.87,1.54,42.29,0.77,2.03,238.0,Poor
4844,Bengaluru,2016-07-04,19.4,112.27,12.8,23.11,19.0,32.37,4.04,1.86,33.37,1.07,2.26,160.0,Moderate
4845,Bengaluru,2016-07-05,18.36,57.25,10.01,19.9,17.76,31.94,2.27,2.18,35.67,0.53,0.53,83.0,Satisfactory
4885,Bengaluru,2016-08-14,21.57,97.04,5.63,14.87,7.1,40.59,3.59,1.75,19.82,4.29,2.84,38.0,Good
4900,Bengaluru,2016-08-29,27.16,59.6,4.61,20.93,4.15,40.64,0.77,4.62,28.48,1.94,26.35,47.0,Good
4902,Bengaluru,2016-08-31,35.17,51.69,3.61,19.08,2.06,40.41,0.42,3.7,20.34,10.7,68.02,49.0,Good
4912,Bengaluru,2016-09-10,43.95,68.24,4.78,19.99,1.38,104.81,0.57,3.55,28.99,0.95,2.47,84.0,Satisfactory
4913,Bengaluru,2016-09-11,24.72,57.37,4.12,21.18,0.0,43.84,0.36,3.77,22.02,0.47,0.26,64.0,Satisfactory
4915,Bengaluru,2016-09-13,23.04,48.92,5.23,12.98,1.43,43.25,0.41,9.3,44.94,0.77,0.17,60.0,Satisfactory
4916,Bengaluru,2016-09-14,13.59,45.66,3.62,21.47,2.35,43.42,0.52,2.96,36.66,0.59,0.26,60.0,Satisfactory
4917,Bengaluru,2016-09-15,11.1,41.09,8.1,29.29,18.5,39.83,0.97,3.76,39.12,0.56,6.38,74.0,Satisfactory
4918,Bengaluru,2016-09-16,32.23,57.94,10.28,32.53,65.31,13.14,0.89,7.68,22.05,0.34,2.14,66.0,Satisfactory
4919,Bengaluru,2016-09-17,41.01,79.93,8.32,25.42,5.5,5.14,0.8,4.59,36.26,0.67,0.27,70.0,Satisfactory
4921,Bengaluru,2016-09-19,26.31,49.89,4.44,30.0,12.86,24.8,0.25,3.38,19.1,0.82,0.36,58.0,Satisfactory
4922,Bengaluru,2016-09-20,32.98,44.55,4.23,26.31,12.71,30.77,0.2,4.3,16.09,0.81,0.35,47.0,Good
4923,Bengaluru,2016-09-21,43.4,33.79,4.89,26.08,8.49,55.78,0.38,5.07,17.18,1.0,0.39,40.0,Good
4924,Bengaluru,2016-09-22,32.46,52.66,4.99,23.58,11.01,35.92,0.52,4.53,22.04,1.96,4.97,58.0,Satisfactory
4925,Bengaluru,2016-09-23,26.6,103.69,6.32,21.48,8.74,120.07,0.46,5.37,16.37,5.2,1.46,76.0,Satisfactory
4926,Bengaluru,2016-09-24,39.41,102.24,7.88,29.0,10.48,84.68,0.52,3.87,10.98,0.5,2.27,102.0,Moderate
4928,Bengaluru,2016-09-26,16.88,116.82,4.73,33.42,2.93,49.59,0.71,4.02,13.28,0.66,3.4,90.0,Satisfactory
4930,Bengaluru,2016-09-28,46.14,95.12,5.1,26.83,18.81,28.28,1.08,5.66,14.51,0.89,4.03,83.0,Satisfactory
4931,Bengaluru,2016-09-29,55.24,71.0,5.51,26.2,25.54,36.38,1.13,4.08,15.05,0.66,2.89,114.0,Moderate
4932,Bengaluru,2016-09-30,75.42,121.03,3.75,17.34,6.51,55.12,0.46,4.5,31.09,0.4,1.68,150.0,Moderate
4940,Bengaluru,2016-10-08,27.31,91.1,10.57,25.65,5.49,38.9,0.56,4.59,23.0,0.33,1.18,91.0,Satisfactory
4941,Bengaluru,2016-10-09,13.51,85.18,7.51,27.68,3.9,15.05,1.11,4.26,15.26,0.33,0.93,83.0,Satisfactory
4942,Bengaluru,2016-10-10,18.96,72.83,6.87,26.66,4.02,15.09,0.85,4.12,14.68,0.32,0.97,129.0,Moderate
4943,Bengaluru,2016-10-11,14.61,70.21,6.43,24.16,5.29,15.11,0.73,3.97,15.67,0.36,1.42,78.0,Satisfactory
4944,Bengaluru,2016-10-12,21.3,74.85,9.64,28.0,4.89,15.12,1.08,4.5,15.17,0.6,2.55,75.0,Satisfactory
4945,Bengaluru,2016-10-13,25.15,66.38,14.37,31.42,4.02,15.12,1.97,3.65,12.04,0.38,1.37,141.0,Moderate
4952,Bengaluru,2016-10-20,62.36,181.92,16.5,38.24,3.31,15.14,0.37,6.46,23.58,2.63,3.25,75.0,Satisfactory
4953,Bengaluru,2016-10-21,62.74,191.9,16.25,35.42,9.55,19.99,1.12,8.07,23.86,2.87,0.91,132.0,Moderate
4954,Bengaluru,2016-10-22,97.17,195.61,15.42,33.75,9.13,39.56,0.75,10.52,10.54,3.28,0.54,176.0,Moderate
4955,Bengaluru,2016-10-23,67.85,184.81,17.7,38.05,8.52,24.4,1.2,7.36,31.08,3.12,1.78,184.0,Moderate
4956,Bengaluru,2016-10-24,58.78,179.79,17.97,41.96,6.73,23.24,1.18,9.87,22.16,1.38,2.0,127.0,Moderate
4957,Bengaluru,2016-10-25,80.99,224.1,14.17,36.1,11.88,33.13,1.64,8.46,22.28,1.25,2.84,163.0,Moderate
4958,Bengaluru,2016-10-26,68.17,116.92,8.27,44.78,18.86,40.67,1.16,4.9,25.13,1.07,1.84,164.0,Moderate
4959,Bengaluru,2016-10-27,59.61,137.68,8.04,46.57,16.72,37.52,0.83,4.28,29.54,1.01,1.44,132.0,Moderate
4960,Bengaluru,2016-10-28,62.38,123.91,12.29,46.43,15.06,34.9,0.8,9.04,44.86,0.65,1.39,116.0,Moderate
4961,Bengaluru,2016-10-29,78.74,130.99,10.07,44.4,13.2,35.3,3.1,4.31,45.04,1.07,1.94,174.0,Moderate
4962,Bengaluru,2016-10-30,60.79,130.15,9.82,38.53,10.08,41.04,2.97,3.75,23.8,1.77,4.15,188.0,Moderate
4963,Bengaluru,2016-10-31,36.92,95.71,13.39,34.8,6.17,38.42,0.55,4.92,21.69,0.47,1.31,88.0,Satisfactory
4965,Bengaluru,2016-11-02,31.26,142.2,16.42,39.54,3.64,36.28,0.42,3.29,26.39,0.93,2.07,57.0,Satisfactory
4966,Bengaluru,2016-11-03,34.79,111.6,22.62,41.17,7.45,37.76,1.37,2.49,25.26,0.69,3.73,82.0,Satisfactory
4967,Bengaluru,2016-11-04,55.92,118.8,12.26,37.52,14.38,36.05,0.85,4.84,30.68,1.81,3.24,88.0,Satisfactory
4968,Bengaluru,2016-11-05,55.03,117.02,8.25,29.98,0.0,28.78,1.16,4.69,34.67,2.3,3.01,111.0,Moderate
4969,Bengaluru,2016-11-06,41.23,69.46,2.8,27.4,0.0,27.28,0.7,3.85,37.6,1.9,2.37,90.0,Satisfactory
4970,Bengaluru,2016-11-07,43.91,100.27,3.56,31.23,0.0,29.92,0.83,2.83,36.94,1.63,2.44,78.0,Satisfactory
4971,Bengaluru,2016-11-08,52.08,109.02,8.9,32.63,6.48,29.57,0.83,6.29,37.14,1.28,2.0,94.0,Satisfactory
4972,Bengaluru,2016-11-09,46.94,120.41,7.62,28.38,0.0,28.86,0.62,5.16,46.92,1.16,2.21,95.0,Satisfactory
4973,Bengaluru,2016-11-10,49.03,130.54,8.22,30.8,0.0,27.67,0.76,6.34,62.56,1.44,2.65,112.0,Moderate
4974,Bengaluru,2016-11-11,57.78,150.94,10.46,41.03,0.0,29.6,0.73,7.64,71.14,1.39,2.11,124.0,Moderate
4975,Bengaluru,2016-11-12,52.72,127.44,7.61,37.57,0.0,30.49,0.72,8.28,77.53,1.02,1.64,122.0,Moderate
4976,Bengaluru,2016-11-13,38.42,121.18,10.83,38.81,0.0,39.82,0.63,4.93,57.77,0.75,1.49,99.0,Satisfactory
4977,Bengaluru,2016-11-14,29.96,82.83,10.55,36.67,0.0,31.52,0.37,5.26,14.2,0.62,1.54,44.0,Good
4978,Bengaluru,2016-11-15,27.64,56.85,7.72,25.66,0.0,14.03,0.91,5.02,15.65,0.79,1.91,38.0,Good
4979,Bengaluru,2016-11-16,35.8,130.25,10.26,25.46,0.0,24.15,1.9,5.08,22.33,0.78,4.12,102.0,Moderate
4980,Bengaluru,2016-11-17,40.13,133.97,11.92,34.52,0.0,34.63,0.99,2.97,48.83,0.67,1.26,189.0,Moderate
4981,Bengaluru,2016-11-18,43.6,135.71,8.35,30.86,0.0,24.55,0.57,2.5,56.67,0.8,1.74,101.0,Moderate
4984,Bengaluru,2016-11-21,102.01,182.79,14.76,44.31,0.0,31.02,0.69,3.9,44.48,1.09,1.9,120.0,Moderate
4985,Bengaluru,2016-11-22,91.6,141.03,9.41,31.76,0.0,39.39,3.0,7.56,16.37,1.97,2.56,101.0,Moderate
4986,Bengaluru,2016-11-23,47.76,173.09,10.82,39.92,0.0,39.88,2.6,6.66,33.28,3.07,7.77,335.0,Very Poor
4987,Bengaluru,2016-11-24,86.62,152.15,9.06,32.55,0.0,19.16,1.05,4.88,46.95,6.35,6.71,140.0,Moderate
4988,Bengaluru,2016-11-25,46.12,158.04,12.75,33.94,0.0,17.7,1.22,4.01,43.76,5.39,2.86,133.0,Moderate
4989,Bengaluru,2016-11-26,46.87,164.12,14.9,36.46,0.0,17.32,0.89,3.63,38.04,7.38,3.73,113.0,Moderate
4990,Bengaluru,2016-11-27,53.71,171.52,17.18,37.49,0.0,17.2,0.85,3.52,35.33,8.44,3.73,117.0,Moderate
4991,Bengaluru,2016-11-28,49.9,176.99,15.78,38.97,0.0,27.25,0.67,6.79,26.27,8.92,5.41,124.0,Moderate
4992,Bengaluru,2016-11-29,59.3,194.37,11.64,37.55,0.0,27.55,0.81,11.63,31.34,11.69,4.73,120.0,Moderate
4993,Bengaluru,2016-11-30,49.69,170.26,9.74,31.49,0.0,26.58,1.88,5.34,28.52,8.45,4.38,160.0,Moderate
4994,Bengaluru,2016-12-01,45.84,137.86,12.77,26.72,0.0,27.97,0.87,4.93,39.83,6.72,3.94,114.0,Moderate
4995,Bengaluru,2016-12-02,22.14,78.55,10.95,26.06,0.0,30.0,0.72,3.55,20.83,3.61,9.26,103.0,Moderate
4996,Bengaluru,2016-12-03,18.3,102.86,14.52,30.35,0.0,37.49,0.82,4.06,11.42,2.54,2.86,67.0,Satisfactory
4997,Bengaluru,2016-12-04,24.44,136.05,10.4,23.2,0.0,28.44,1.66,3.15,8.61,2.4,3.85,125.0,Moderate
4998,Bengaluru,2016-12-05,23.63,124.78,14.4,30.2,0.0,29.23,2.95,4.43,9.8,2.5,7.48,209.0,Poor
4999,Bengaluru,2016-12-06,36.97,155.51,14.79,44.45,0.0,27.6,1.7,3.0,15.37,3.56,5.03,200.0,Moderate
5000,Bengaluru,2016-12-07,40.72,132.73,14.55,44.74,0.0,26.04,0.65,3.63,20.32,4.71,2.45,101.0,Moderate
5001,Bengaluru,2016-12-08,32.59,128.54,15.8,43.67,0.0,26.6,0.69,5.58,16.42,3.78,2.55,85.0,Satisfactory
5002,Bengaluru,2016-12-09,44.96,135.0,10.65,40.56,0.0,24.42,1.19,6.68,13.5,3.79,4.98,163.0,Moderate
5003,Bengaluru,2016-12-10,30.37,124.8,7.35,37.24,0.0,24.0,0.46,3.47,6.73,5.57,5.58,75.0,Satisfactory
5004,Bengaluru,2016-12-11,24.98,138.06,10.07,42.15,0.0,32.37,1.76,8.15,8.43,4.45,4.65,132.0,Moderate
5005,Bengaluru,2016-12-12,42.19,131.75,4.07,25.22,0.0,28.36,1.46,6.85,22.58,1.85,1.74,119.0,Moderate
5007,Bengaluru,2016-12-14,30.72,180.88,8.36,23.41,0.0,25.14,0.54,2.62,22.5,1.8,2.04,104.0,Moderate
5008,Bengaluru,2016-12-15,28.47,142.64,14.16,37.05,0.0,27.42,1.15,3.72,12.13,1.86,3.39,93.0,Satisfactory
5009,Bengaluru,2016-12-16,34.57,137.45,14.64,37.38,0.0,36.2,1.39,4.25,7.08,2.58,3.04,134.0,Moderate
5010,Bengaluru,2016-12-17,36.97,143.58,8.67,38.93,0.0,23.44,1.63,4.35,13.37,2.78,5.85,103.0,Moderate
5011,Bengaluru,2016-12-18,35.21,130.91,7.48,40.15,0.0,28.81,0.79,4.81,26.23,2.87,5.5,90.0,Satisfactory
5012,Bengaluru,2016-12-19,37.8,144.73,8.19,40.9,0.0,20.01,0.73,4.27,25.9,2.82,5.5,97.0,Satisfactory
5013,Bengaluru,2016-12-20,19.09,121.19,6.35,35.67,0.0,18.42,0.71,3.75,18.88,2.96,4.76,93.0,Satisfactory
5014,Bengaluru,2016-12-21,19.68,99.9,6.17,24.18,0.0,16.41,0.46,4.19,16.53,3.26,4.52,74.0,Satisfactory
5015,Bengaluru,2016-12-22,39.64,176.96,7.26,30.67,0.0,17.54,0.28,4.74,28.61,4.78,7.43,75.0,Satisfactory
5016,Bengaluru,2016-12-23,43.67,150.64,15.23,72.51,0.0,17.39,0.74,7.81,37.75,9.07,13.98,100.0,Satisfactory
5017,Bengaluru,2016-12-24,57.79,141.76,14.19,79.24,0.0,18.3,0.62,7.79,11.26,7.52,5.94,112.0,Moderate
5018,Bengaluru,2016-12-25,39.11,145.35,5.4,46.39,0.0,17.31,0.71,4.93,52.62,3.93,3.64,114.0,Moderate
5019,Bengaluru,2016-12-26,34.02,121.66,7.15,49.47,0.0,17.08,0.84,5.17,34.44,3.63,4.39,104.0,Moderate
5020,Bengaluru,2016-12-27,53.5,111.09,5.22,41.33,0.0,16.9,0.7,7.04,23.74,3.94,3.79,90.0,Satisfactory
5021,Bengaluru,2016-12-28,38.53,80.87,2.34,20.7,0.0,17.07,0.2,4.32,17.27,3.16,2.63,84.0,Satisfactory
5024,Bengaluru,2016-12-31,40.96,128.38,9.9,47.25,0.0,17.59,0.74,4.92,41.16,2.76,2.06,106.0,Moderate
5026,Bengaluru,2017-01-02,19.61,105.34,8.81,40.94,0.0,17.62,0.68,4.93,29.95,2.35,2.36,83.0,Satisfactory
5027,Bengaluru,2017-01-03,26.66,106.4,9.8,49.02,0.0,19.41,0.74,4.95,31.55,4.07,4.61,87.0,Satisfactory
5028,Bengaluru,2017-01-04,36.93,118.86,6.9,38.48,0.0,24.85,0.76,4.58,39.09,4.02,3.48,91.0,Satisfactory
5029,Bengaluru,2017-01-05,36.09,114.62,7.03,36.01,0.0,25.09,0.63,4.57,35.78,3.12,3.3,85.0,Satisfactory
5030,Bengaluru,2017-01-06,41.53,131.53,7.88,39.13,0.0,24.47,0.59,4.32,39.95,3.62,3.19,88.0,Satisfactory
5031,Bengaluru,2017-01-07,47.48,140.54,7.12,40.87,0.0,25.17,0.79,5.57,43.82,3.83,2.83,106.0,Moderate
5032,Bengaluru,2017-01-08,37.61,124.94,4.72,33.21,0.0,25.52,0.67,4.83,39.25,2.71,2.18,95.0,Satisfactory
5033,Bengaluru,2017-01-09,43.11,136.23,8.29,44.61,0.0,24.41,0.86,8.12,38.14,6.53,3.66,87.0,Satisfactory
5034,Bengaluru,2017-01-10,74.1,125.23,4.58,37.38,0.0,24.92,0.61,5.51,59.48,4.82,4.63,130.0,Moderate
5035,Bengaluru,2017-01-11,42.42,142.13,6.56,47.35,0.0,25.29,1.02,5.96,56.92,4.81,3.79,132.0,Moderate
5036,Bengaluru,2017-01-12,24.26,140.88,7.53,44.12,0.0,26.47,0.68,3.72,52.42,3.02,3.19,110.0,Moderate
5037,Bengaluru,2017-01-13,31.22,108.09,4.05,26.86,0.0,26.04,0.55,3.67,50.8,2.17,2.0,91.0,Satisfactory
5040,Bengaluru,2017-01-16,31.65,128.58,7.04,34.1,0.0,23.82,0.53,5.25,53.3,2.18,1.69,66.0,Satisfactory
5048,Bengaluru,2017-01-24,41.55,121.2,8.58,45.39,0.0,23.95,5.28,6.23,51.39,2.05,1.58,100.0,Satisfactory
5049,Bengaluru,2017-01-25,34.96,114.94,7.97,41.5,0.0,23.3,6.42,4.81,49.67,2.57,1.42,168.0,Moderate
5050,Bengaluru,2017-01-26,27.04,109.75,5.55,28.01,0.0,24.99,7.32,3.67,47.81,1.7,1.05,182.0,Moderate
5051,Bengaluru,2017-01-27,23.36,87.39,12.36,46.38,0.0,27.95,8.19,5.81,19.01,2.07,1.46,174.0,Moderate
5054,Bengaluru,2017-01-30,31.79,83.98,10.38,40.89,0.0,24.82,7.54,4.51,34.35,1.73,1.85,230.0,Poor
5055,Bengaluru,2017-01-31,37.81,81.51,6.94,40.55,0.0,24.8,1.55,7.85,47.14,1.45,2.19,97.0,Satisfactory
5056,Bengaluru,2017-02-01,27.42,81.76,8.06,43.93,0.0,23.83,1.87,8.57,39.53,1.53,1.85,101.0,Moderate
5057,Bengaluru,2017-02-02,49.35,82.75,8.73,58.2,0.0,22.26,6.34,5.18,72.53,1.27,1.7,94.0,Satisfactory
5058,Bengaluru,2017-02-03,32.16,93.4,5.83,43.39,0.0,22.29,15.93,3.37,50.44,2.59,1.84,207.0,Poor
5061,Bengaluru,2017-02-06,32.73,117.9,7.98,45.2,0.0,21.39,15.22,4.71,60.34,3.02,2.18,273.0,Poor
5062,Bengaluru,2017-02-07,43.1,102.65,10.78,64.19,0.0,20.74,12.47,6.59,65.58,4.88,2.15,238.0,Poor
5063,Bengaluru,2017-02-08,41.94,91.18,6.83,45.34,0.0,20.2,9.04,7.24,64.64,4.01,5.09,200.0,Moderate
5064,Bengaluru,2017-02-09,38.04,103.85,6.81,45.51,0.0,21.68,0.58,6.22,12.28,3.56,5.01,69.0,Satisfactory
5065,Bengaluru,2017-02-10,36.09,102.51,6.31,41.63,0.0,20.99,0.66,7.38,13.96,3.61,3.64,77.0,Satisfactory
5066,Bengaluru,2017-02-11,29.54,93.69,8.73,51.47,0.0,21.44,1.01,5.61,41.88,2.29,2.63,109.0,Moderate
5067,Bengaluru,2017-02-12,27.65,81.87,10.35,57.48,0.0,22.83,0.68,5.79,43.53,3.81,4.09,80.0,Satisfactory
5077,Bengaluru,2017-02-22,42.13,116.85,9.87,51.89,0.0,21.67,1.11,17.04,66.01,4.17,4.38,106.0,Moderate
5078,Bengaluru,2017-02-23,44.09,107.48,13.23,49.76,0.0,22.22,0.38,9.22,45.32,5.63,4.01,99.0,Satisfactory
5079,Bengaluru,2017-02-24,42.73,92.91,10.08,47.21,0.0,21.92,0.4,9.04,21.94,3.49,3.12,83.0,Satisfactory
5080,Bengaluru,2017-02-25,40.96,86.08,8.08,35.46,0.0,22.93,0.34,7.42,19.64,3.33,2.81,75.0,Satisfactory
5081,Bengaluru,2017-02-26,35.66,90.69,7.38,32.39,0.0,24.05,0.39,7.69,34.75,1.69,1.88,73.0,Satisfactory
5082,Bengaluru,2017-02-27,37.55,85.57,8.72,38.99,0.0,22.87,0.46,7.0,25.64,1.71,1.67,70.0,Satisfactory
5083,Bengaluru,2017-02-28,31.19,87.32,8.91,43.09,0.0,22.97,0.46,6.84,27.08,2.18,1.88,71.0,Satisfactory
5084,Bengaluru,2017-03-01,39.98,98.33,28.97,72.79,0.0,107.53,0.36,6.83,32.88,2.42,1.66,71.0,Satisfactory
5085,Bengaluru,2017-03-02,36.36,85.55,14.27,51.16,0.0,24.18,0.38,6.54,22.95,4.52,1.77,75.0,Satisfactory
5086,Bengaluru,2017-03-03,29.87,89.98,8.12,40.71,0.0,26.25,1.01,6.43,22.65,2.34,2.09,104.0,Moderate
5087,Bengaluru,2017-03-04,28.41,75.22,11.64,41.35,0.0,26.53,0.53,8.16,13.85,1.39,1.55,57.0,Satisfactory
5088,Bengaluru,2017-03-05,23.15,78.15,5.99,25.6,0.0,27.95,0.39,7.12,20.8,1.67,1.71,59.0,Satisfactory
5089,Bengaluru,2017-03-06,26.67,74.17,6.52,29.12,0.0,31.01,0.35,6.61,19.79,1.52,1.67,54.0,Satisfactory
5090,Bengaluru,2017-03-07,27.87,81.97,9.75,38.6,0.0,34.12,0.35,5.4,25.64,1.43,1.53,59.0,Satisfactory
5091,Bengaluru,2017-03-08,31.78,84.76,9.48,41.89,0.0,30.12,0.79,8.94,29.59,2.27,2.41,102.0,Moderate
5092,Bengaluru,2017-03-09,32.53,98.45,7.46,38.79,0.0,35.13,0.35,6.8,16.07,2.28,2.54,72.0,Satisfactory
5093,Bengaluru,2017-03-10,29.4,71.8,5.62,22.5,0.0,42.48,0.21,5.47,29.37,1.71,1.42,66.0,Satisfactory
5094,Bengaluru,2017-03-11,28.94,76.71,6.79,25.81,0.0,28.2,0.22,5.57,26.56,2.13,1.74,56.0,Satisfactory
5095,Bengaluru,2017-03-12,27.07,65.19,7.54,28.21,0.0,26.09,0.13,5.54,30.11,2.31,2.27,66.0,Satisfactory
5096,Bengaluru,2017-03-13,42.64,98.52,6.48,26.88,0.0,30.64,0.26,6.36,19.9,2.08,1.72,55.0,Satisfactory
5097,Bengaluru,2017-03-14,21.93,70.51,7.72,25.17,0.0,34.32,0.46,3.91,11.13,1.02,1.18,69.0,Satisfactory
5098,Bengaluru,2017-03-15,17.99,66.24,7.98,23.84,0.0,33.53,0.28,4.61,8.93,0.86,0.94,44.0,Good
5099,Bengaluru,2017-03-16,27.59,63.81,11.33,23.73,0.0,26.96,0.21,4.77,28.92,0.97,1.39,54.0,Satisfactory
5100,Bengaluru,2017-03-17,39.28,107.17,6.33,30.51,0.0,27.37,0.16,4.14,47.72,2.98,3.49,98.0,Satisfactory
5101,Bengaluru,2017-03-18,32.33,87.57,6.96,30.75,0.0,25.99,0.78,7.59,66.57,1.96,2.19,99.0,Satisfactory
5102,Bengaluru,2017-03-19,32.31,81.68,4.96,21.08,0.0,25.66,0.2,5.33,57.26,2.21,2.61,95.0,Satisfactory
5103,Bengaluru,2017-03-20,38.73,105.25,6.29,29.11,0.0,26.78,0.3,4.51,60.19,2.19,2.05,87.0,Satisfactory
5104,Bengaluru,2017-03-21,36.42,95.55,6.75,30.76,0.0,26.49,0.48,5.53,42.51,1.96,1.83,83.0,Satisfactory
5105,Bengaluru,2017-03-22,43.96,105.81,6.52,32.28,0.0,23.98,0.55,6.87,36.22,2.42,4.92,74.0,Satisfactory
5106,Bengaluru,2017-03-23,44.26,102.04,8.71,41.3,0.0,24.06,0.68,8.28,42.18,2.38,2.57,89.0,Satisfactory
5107,Bengaluru,2017-03-24,67.75,107.42,7.38,39.52,0.0,20.33,0.48,7.14,43.89,2.85,2.18,140.0,Moderate
5108,Bengaluru,2017-03-25,47.51,114.14,11.76,40.07,0.0,20.79,0.56,9.41,52.37,4.72,2.82,104.0,Moderate
5109,Bengaluru,2017-03-26,53.63,116.45,7.44,35.29,0.0,22.33,0.3,12.82,68.34,1.62,1.72,99.0,Satisfactory
5110,Bengaluru,2017-03-27,40.42,114.11,5.59,27.16,0.0,22.04,0.13,3.65,45.77,2.63,2.06,90.0,Satisfactory
5111,Bengaluru,2017-03-28,55.94,105.81,4.71,30.4,0.0,25.2,0.25,4.77,40.7,3.39,2.75,82.0,Satisfactory
5112,Bengaluru,2017-03-29,41.83,89.06,2.7,23.82,0.0,28.76,0.32,3.28,52.94,2.47,2.03,112.0,Moderate
5113,Bengaluru,2017-03-30,46.83,69.68,3.32,27.69,0.0,25.74,0.14,2.48,47.33,2.25,2.44,90.0,Satisfactory
5114,Bengaluru,2017-03-31,55.9,94.22,5.13,37.77,0.0,22.44,0.26,2.53,53.42,2.96,2.9,112.0,Moderate
5115,Bengaluru,2017-04-01,51.65,108.37,5.59,37.78,0.0,24.02,0.51,2.79,61.72,3.85,2.95,124.0,Moderate
5116,Bengaluru,2017-04-02,32.61,104.58,5.32,30.53,0.0,28.54,0.48,2.59,66.27,1.93,1.65,113.0,Moderate
5117,Bengaluru,2017-04-03,39.37,106.07,9.79,41.21,0.0,26.81,0.68,2.79,68.42,2.01,1.43,117.0,Moderate
5118,Bengaluru,2017-04-04,36.85,99.33,3.61,25.76,0.0,25.66,0.54,2.3,72.54,2.55,2.12,120.0,Moderate
5119,Bengaluru,2017-04-05,29.5,78.34,3.71,20.83,0.0,27.27,0.44,2.0,69.06,1.78,1.55,94.0,Satisfactory
5120,Bengaluru,2017-04-06,29.52,92.48,6.17,19.83,0.0,27.92,0.33,2.28,66.84,2.09,1.9,110.0,Moderate
5121,Bengaluru,2017-04-07,31.08,79.87,5.33,24.61,0.0,28.02,0.46,2.65,68.4,2.98,2.25,94.0,Satisfactory
5122,Bengaluru,2017-04-08,36.66,103.5,7.3,34.42,0.0,26.68,0.68,2.8,45.04,3.19,2.75,82.0,Satisfactory
5123,Bengaluru,2017-04-09,29.29,89.11,7.08,28.32,0.0,25.78,0.48,2.54,37.96,1.78,1.69,75.0,Satisfactory
5124,Bengaluru,2017-04-10,43.0,90.64,8.28,34.64,0.0,29.59,0.74,3.03,60.0,1.93,1.41,99.0,Satisfactory
5125,Bengaluru,2017-04-11,31.18,92.2,7.17,34.13,0.0,28.14,0.44,2.39,60.0,2.44,1.74,99.0,Satisfactory
5127,Bengaluru,2017-04-13,50.54,105.34,7.07,37.62,0.0,24.73,0.56,4.26,75.93,2.92,2.3,108.0,Moderate
5128,Bengaluru,2017-04-14,51.33,104.38,6.96,39.64,0.0,24.12,0.55,5.03,63.27,3.62,1.96,107.0,Moderate
5129,Bengaluru,2017-04-15,35.01,101.83,9.78,45.01,0.0,24.52,0.69,6.77,60.39,2.4,1.76,106.0,Moderate
5131,Bengaluru,2017-04-17,34.86,79.44,5.28,27.93,0.0,31.55,0.44,5.81,83.69,1.32,0.64,86.0,Satisfactory
5132,Bengaluru,2017-04-18,38.46,66.4,4.73,24.41,0.0,28.01,0.44,5.07,91.3,2.24,2.3,77.0,Satisfactory
5133,Bengaluru,2017-04-19,38.13,84.63,6.11,25.49,0.0,31.93,0.52,4.74,81.46,1.38,1.07,92.0,Satisfactory
5134,Bengaluru,2017-04-20,29.75,56.29,5.45,24.78,0.0,28.87,0.43,4.71,47.22,2.53,1.39,81.0,Satisfactory
5135,Bengaluru,2017-04-21,21.53,80.41,4.21,24.41,0.0,35.77,0.47,4.71,54.16,1.38,1.14,75.0,Satisfactory
5136,Bengaluru,2017-04-22,25.46,62.1,4.85,22.79,0.0,30.19,0.45,4.83,24.41,1.19,1.02,64.0,Satisfactory
5137,Bengaluru,2017-04-23,28.49,74.8,2.67,23.6,0.0,27.92,0.08,3.68,7.03,1.51,1.41,50.0,Good
5139,Bengaluru,2017-04-25,29.88,108.62,3.54,31.4,0.0,28.23,0.19,3.52,27.0,1.53,1.12,66.0,Satisfactory
5140,Bengaluru,2017-04-26,33.95,110.88,4.52,42.65,0.0,27.58,0.7,3.86,48.16,1.87,1.7,92.0,Satisfactory
5141,Bengaluru,2017-04-27,40.01,100.72,7.39,38.94,0.0,28.45,0.67,5.61,27.84,3.71,2.69,87.0,Satisfactory
5142,Bengaluru,2017-04-28,62.07,84.02,4.72,32.77,0.0,27.29,0.49,4.4,61.69,1.52,1.44,96.0,Satisfactory
5143,Bengaluru,2017-04-29,38.44,76.53,8.49,39.84,0.0,28.89,0.44,5.15,43.66,1.44,1.64,139.0,Moderate
5145,Bengaluru,2017-05-01,20.32,80.58,6.21,31.84,0.0,25.82,0.39,4.82,39.36,0.96,0.75,77.0,Satisfactory
5146,Bengaluru,2017-05-02,24.2,78.44,8.2,41.08,0.0,26.1,0.35,4.88,24.89,0.92,0.85,60.0,Satisfactory
5148,Bengaluru,2017-05-04,42.2,90.14,12.03,43.35,0.0,22.96,0.47,5.54,17.45,1.59,1.55,94.0,Satisfactory
5149,Bengaluru,2017-05-05,28.27,85.96,8.55,42.47,0.0,31.0,0.62,5.76,6.19,2.33,1.76,80.0,Satisfactory
